Title,Details,Director,Actors,Original Title,Summary,User Rating
Yukarı Bak,"1s 35dk | | | Macera | , | Animasyon | , | Aile","Yönetmen | Pete Docter | , | Bob Peterson","Oyuncular:, Edward Asner, ,, Jordan Nagai, ,, Bob Peterson","1s 35dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Animasyon,
                                                                                                                                                    
                                                                                Aile","Yukarı Bak'ta rastlantı eseri yolları kesişen iki çocuk, yıllarca sürecek tatlı ve dokunaklı bir hikayenin başkahramanlarıdır. Maceracı doğan ve hayattaki her şeye dair çocuksu saf meraklar barındıran Ellie’nin tek hayali dünyayı gezebilmektir. Carl ise sessizliği ve dinginliğiyle örttüğü maceraperestliği ve kocaman ...","4,4"
Sil Baştan,"1s 48dk | | | Komedi | , | Dram | , | Bilim Kurgu",Yönetmen | Michel Gondry,"Oyuncular:, Jim Carrey, ,, Kate Winslet, ,, Kirsten Dunst","1s 48dk
                                        
                                            |
Komedi,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Bilim Kurgu","Sil Baştan, ayrıldığı sevgilisinden kalan hatırlarını sildiren bir adamın hikayesini anlatıyor. İki yıl boyunca beraber olduğu sevgilisinden oldukça şaşırtıcı bir haber alan Joel Barish, bir teknolojik deneye katılan sevgilisine ilişkilerini tamamen hafızasından silinmeden hatırlatmaya çalışmaktadır. Yani Barish’in kim ...","4,4"
Oyuncak Hikayesi 2,"1s 33dk | | | Macera | , | Animasyon | , | Komedi","Yönetmen | John Lasseter | , | Ash Brannon | , | Lee Unkrich","Oyuncular:, Tom Hanks, ,, Tim Allen, ,, Joan Cusack","1s 33dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Animasyon,
                                                                                                                                                    
                                                                                Komedi","Sahipleri Andy, bir tatil imkanını değerlendirerek bir kovboy kampına gidince tüm oyuncakları yalnız başlarına kalırlar. Her şey yolunda ve dinginlik içerisinde seyrederken Al McWhiggin isimli kurnaz bir koleksiyoncu üzerinden para kazanmayı hedefleyerek Andy'nin en sevdiği oyuncağı olan Woody'yi kaçırır. Buzz ve diğer ...","4,4"
Gazap Ateşi,"2s 26dk | | | Aksiyon | , | Dedektif | , | Gerilim",Yönetmen | Tony Scott,"Oyuncular:, Denzel Washington, ,, Dakota Fanning, ,, Christopher Walken","2s 26dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Dedektif,
                                                                                                                                                    
                                                                                Gerilim",Meksika'da başlayan çocuk kaçırma vakaları özellikle zengin ailelerin korkulu rüyası haline gelmiştir. Altı gün içinde yirmi dört tane daha çocuk kaçırılınca aileler hem kendilerini hem de çocuklarını koruyabilmek için özellikle eski paralı askerleri kiralamaya başlarlar.John Creasy'i de eskiden CIA için çalışmış bir ...,"4,4"
3:10 Yuma,"2s 2dk | | | Dram | , | Western",Yönetmen | James Mangold,"Oyuncular:, Russell Crowe, ,, Christian Bale, ,, Peter Fonda","2s 2dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Western","Evans, azılı bir katil olan Wade’in yakalanmasının ardından onu 3.10 ‘da Yuma’ya kalkacak olan trene  götürmeyi kabul eder. Buna gönüllü olmuştur. Ancak durum farklı şekilde gelişecektir. Evans, bu kanun kaçağı ile birlikte yola çıktığında bir şekilde ona saygı duyacak noktaya varır. Wade’in bir çetesi vardır ve ...","4,4"
Bir Ayrılık,2s 3dk | | | Dram,Yönetmen | Asghar Farhadi,"Oyuncular:, Leila Hatami, ,, Payman Maadi, ,, Shahab Hosseini","2s 3dk
                                        
                                            |
Dram","Bir Ayrılık'ta boşanmak üzere olan Nadir ve Simin, çocuklarının velayeti konusunda ikileme düşüp kadıdan yardım istemektedir. Bir çok festivalden büyük övgüler alarak ayrılan film, özellikle başrol oyuncularının başarılı performanslarına sırtına dayıyor. Simin, kocası Nader ve kızı Termeh’le birlikte İran’ı ...","4,0"
Akıl Defteri,"1s 56dk | | | Dedektif | , | Gerilim",Yönetmen | Christopher Nolan,"Oyuncular:, Guy Pearce, ,, Carrie-Anne Moss, ,, Joe Pantoliano","1s 56dk
                                        
                                            |
Dedektif,
                                                                                                                                                    
                                                                                Gerilim","Akıl Defteri, kısa süreli hafıza kaybı olan bir adamın karısını öldürenleri bulma çabasını konu ediyor. Leonard Shelby, ucuz otel odalarında konaklayan ve sadece nakit para kullanan biridir. Şık giysiler giyip, Jaguar marka araba kullanan Leonard, dışarıdan işadamı gibi görünmektedir. Fakat aslında hayatını karısına ...","4,4"
Kutup Macerası,"2s 0dk | | | Macera | , | Dram",Yönetmen | Frank Marshall,"Oyuncular:, Paul Walker, ,, Jason Biggs, ,, Bruce Greenwood","2s 0dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Dram","Antartika’da, Dr Davis McClaren ile yaptıkları bir seferin ardından, kızak köpeği eğitmeni olan Jerry Shepherd, meslektaşları ile birlikte kutupları terk etmek zorunda kalır. Ciddi bir kar fırtınası yaklaşmaktadır. Köpeklerini daha sonra kurtarmak üzere bağlar. Ancak misyon çağırır ve köpekler kendi kaderlerine kalırlar. ...","4,4"
Kimlik,1s 27dk | | | Gerilim,Yönetmen | James Mangold,"Oyuncular:, John Cusack, ,, Ray Liotta, ,, Amanda Peet","1s 27dk
                                        
                                            |
Gerilim",Karanlık ve felaket kokan bir gecede ortaya çıkan bir kasırga o sırada farklı dertler peşinde koşan on yabancıyı bir araya getirir. Birbirini daha önce görmemiş olan bu on yabancı çeşitli sebepler nedeniyle bir otele sığınmak zorunda kalır. Bu izbe otelde dışarıdaki dünyayla iletişimini kaybeden bu yolcular kısa bir süre ...,"4,4"
Logan: Wolverine,"2s 17dk | | | Aksiyon | , | Bilim Kurgu",Yönetmen | James Mangold,"Oyuncular:, Hugh Jackman, ,, Patrick Stewart, ,, Dafne Keen","2s 17dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Bilim Kurgu","Logan: Wolverine'de, yakın gelecekte yaşlanmış ve yorgun olan Wolverine ve Professor X, Meksika sınırında saklanmaktadır. Fakat Logan'ın dünyadan gizlenmesi ve mirası, karanlık güçler tarafından takip edilen genç bir mutant geldiğinde sona erer. Şimdi Wolverine'de genç bir kadın klonunu Nathanial Essex'in liderliğindeki kötü ...","4,0"
Sherlock Holmes,"2s 8dk | | | Aksiyon | , | Macera",Yönetmen | Guy Ritchie,"Oyuncular:, Robert Downey Jr., ,, Jude Law, ,, Mark Strong","2s 8dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Macera","Kadın izleyicilerin birçoğunun iki favori aktörü Jude Law ve Robert Downey Jr, eşine az rastlanır bir uyumla, beyazperde'de Arthur Conan Doyle'un dünyaca ünlü karakteri Sherlock Holmes'ün yeni versiyonuna hayat veriyorlar. Bu dinamik yeni uyarlamada, Holmes ve cesur ortağı Watson, birbirinden tehlikeli maceralara gözlerini karartıp ...","4,4"
İhtiyar Delikanlı,"1s 59dk | | | Aksiyon | , | Dram | , | Gerilim",Yönetmen | Park Chan-Wook,"Oyuncular:, Min-sik Choi, ,, Yoo Ji-tae, ,, Kang Hye-Jeong","1s 59dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Gerilim","İhtiyar Delikanlı, yıllarca hapis tutulan bir adamın serbest bırakılmasının ardından intikam arayışını konu ediyor.","4,4"
X-Men: Son Direniş,"1s 45dk | | | Aksiyon | , | Fantastik | , | Bilim Kurgu",Yönetmen | Brett Ratner,"Oyuncular:, Halle Berry, ,, Rebecca Romijn, ,, Anna Paquin","1s 45dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Fantastik,
                                                                                                                                                    
                                                                                Bilim Kurgu","Bir devam filmi olan X MEN SON DİRENİŞ, bu üçüncü bölümde bir önceki bölümde sona doğru gündeme gelen Dark Phoenix hikayelerini temel alıyor. İkinci filmde, final kısmında bir takım telepatik yeteneklere sahip olan Jean Grey, sevdiği dostları uğrunda kendisinden vazgeçmişti. Bu sefer Phoenix yani Anka Kuşu aracılığı ile ...","4,4"
Geçmişi Olmayan Adam,"1s 58dk | | | Aksiyon | , | Casusluk | , | Gerilim",Yönetmen | Doug Liman,"Oyuncular:, Matt Damon, ,, Franka Potente, ,, Chris Cooper","1s 58dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Casusluk,
                                                                                                                                                    
                                                                                Gerilim",Açık denizin ortası... Tek başına denizin ortasında hayatta kalmaya çabalayan bir adam bir balıkçı teknesi tarafından kurtarılır. Adam yavaş yavaş kendine gelmeye başladığında geçmişine dair hiçbir şey hatırlamadığı anlaşılır. Artık kim olduğunu anlamak için kendisi hakkında bir araştırma yapmaya koyulacaktır. ...,"4,4"
Harry Potter ve Felsefe Taşı,"2s 32dk | | | Macera | , | Aile | , | Fantastik",Yönetmen | Chris Columbus,"Oyuncular:, Daniel Radcliffe, ,, Rupert Grint, ,, Emma Watson","2s 32dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Aile,
                                                                                                                                                    
                                                                                Fantastik","Harry Potter'ın ailesi ağır ve şaibeli bir trafik kazasında ölmüştür. Öksüz ve yetim kalan Harry'nin sığınabileceği tek yer, arasının pek de iyi olmadığı teyzesinin yanıdır. Harry, tüm hayatı boyunca idari ailesi tarafından kötü davranışlarla büyütülür. Ancak Harry Potter artık 11 yaşındadır ve Harry'nin ...","4,4"
Köstebek,"2s 5dk | | | Biyografik | , | Dedektif | , | Dram",Yönetmen | Mike Newell,"Oyuncular:, Al Pacino, ,, Johnny Depp, ,, Michael Madsen","2s 5dk
                                        
                                            |
Biyografik,
                                                                                                                                                    
                                                                                Dedektif,
                                                                                                                                                    
                                                                                Dram","1978 senesi… Joe Pistone işine ve teşkilatına sadık bir FBI ajanıdır. İşi gereği, altı yıldır mücevher hırsızlığı yapmaktadır ve Donnie Brasco olarak anılmaktadır. Sorun şudur ki, Pistone bir süre sonra oynadığı role inanmaya ve gerçekten de Donnie Brasco olmaya başlayacaktır. Bir süre sonra mafyanın ...","4,4"
X-Men 2,"2s 5dk | | | Aksiyon | , | Bilim Kurgu",Yönetmen | Bryan Singer,"Oyuncular:, Patrick Stewart, ,, Hugh Jackman, ,, Ian McKellen","2s 5dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Bilim Kurgu","Styker isimli kötü niyetli bir varlık şehrin ve insanlığın düzenine çomak sokmak üzere güç toplamaktadır. Büyük bir kaosu beraberinde getirmeyi amaçlayan William Styker, müthiş bir şehilde organize olmaktadır. Alışılmışın dışındaki süper güçleriyle çevresine korku yaymaya başlayan Styker'ın karşısına ...","4,4"
Harry Potter ve Azkaban Tutsağı,"2s 21dk | | | Macera | , | Fantastik",Yönetmen | Alfonso Cuarón,"Oyuncular:, Daniel Radcliffe, ,, Rupert Grint, ,, Emma Watson","2s 21dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Fantastik","Sevilen kahramanın yeni bir filmi daha. Harry Potter, akrabaları ile zor zamanlar geçirmektedir. Ailesine kötü davranan, Vernon Amca’nın kız kardeşi Marge’a büyü yapıp kaçar. Okul dışında büyü yaptığı için korksa da cezalandırılmadığını fark edince çok şaşırır. Ancak çok geçmeden, tehlikeli bir suçlu olan Lord ...","4,4"
Korkusuz,"1s 44dk | | | Aksiyon | , | Dövüş",Yönetmen | Ronny Yu,"Oyuncular:, Jet Li, ,, Li Sun (II), ,, Yong Dong","1s 44dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Dövüş","Bazen şahit olduğumuz yenilgiler, kendi kanımızdan insanlara aitse, bunun rövanşını biz üstleniriz. Huo Yuanja’nın, babası tanınmış bir dövüşçüdür. Bir gün, bu usta, kendi oğlunun gözleri önünde yenilgiye uğrar. Huo bu sahneye şahit olurken derin bir utanç ve hırsla dolar. Bir gün kendisi de çok iyi bir dövüşçü ...","4,4"
